Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.69    2.34       1/1           main [1]
[2]     53.5    0.69    2.34       1         compute_congestion_pressure(std::vector<int, std::allocator<int> > const&, int, int, int) [2]
                0.97    0.82 1908590608/1941504792     std::vector<int, std::allocator<int> >::operator[](unsigned long) [3]
                0.43    0.12 272646144/272646144     next_pressure_value(int, int, int, int, int, int, int, int, int) [8]
                0.01    0.00       2/2           std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [42]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&) [53]
                0.00    0.00   67602/1941707596     std::vector<int, std::allocator<int> >::size() const [7]
                0.00    0.00   67600/135200      std::vector<int, std::allocator<int> >::operator[](unsigned long) const [51]
                0.00    0.00    4096/4096        std::vector<int, std::allocator<int> >::swap(std::vector<int, std::allocator<int> >&) [133]
                0.00    0.00       3/4           std::vector<int, std::allocator<int> >::~vector() [186]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::begin() [237]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::end() [236]
-----------------------------------------------
                0.02    0.01 32914184/1941504792     shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
                0.97    0.82 1908590608/1941504792     compute_congestion_pressure(std::vector<int, std::allocator<int> > const&, int, int, int) [2]
[3]     32.1    0.99    0.83 1941504792         std::vector<int, std::allocator<int> >::operator[](unsigned long) [3]
                0.83    0.00 1941504792/1941707596     std::vector<int, std::allocator<int> >::size() const [7]
-----------------------------------------------
                                                 <spontaneous>
[4]     22.6    1.28    0.00                 _init [4]
-----------------------------------------------
                0.00    1.27       1/1           main [1]
[5]     22.4    0.00    1.27       1         run_all_requests(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::vector<RouteRequest, std::allocator<RouteRequest> > const&, std::vector<int, std::allocator<int> >&) [5]
                0.27    1.00    1200/1200        shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
                0.00    0.01    1200/1200        format_route_label[abi:cxx11](RouteRequest const&, int) [39]
                0.00    0.00    1200/1200        checksum_label(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [76]
                0.00    0.00    1200/7461        std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [77]
                0.00    0.00    1200/1200        std::vector<RouteRequest, std::allocator<RouteRequest> >::operator[](unsigned long) const [147]
                0.00    0.00       1/1202        std::vector<RouteRequest, std::allocator<RouteRequest> >::size() const [141]
-----------------------------------------------
                0.27    1.00    1200/1200        run_all_requests(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::vector<RouteRequest, std::allocator<RouteRequest> > const&, std::vector<int, std::allocator<int> >&) [5]
[6]     22.3    0.27    1.00    1200         shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
                0.13    0.23 130796956/130801308     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const [9]
                0.20    0.00    1200/1200        std::vector<Point, std::allocator<Point> >::~vector() [10]
                0.00    0.16    1200/1200        std::vector<Point, std::allocator<Point> >::vector(unsigned long, std::allocator<Point> const&) [12]
                0.08    0.06 130798156/130804910     std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) const [18]
                0.01    0.04 65614600/65614600     std::vector<Point, std::allocator<Point> >::operator[](unsigned long) [22]
                0.05    0.00    1200/1201        void std::__fill_a1<int*, int>(int*, int*, int const&) [23]
                0.02    0.01 32914184/1941504792     std::vector<int, std::allocator<int> >::operator[](unsigned long) [3]
                0.00    0.00    1200/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const [11]
                0.00    0.00    1200/130876112     std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const [21]
-----------------------------------------------
                0.00    0.00       2/1941707596     std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [42]
                0.00    0.00   67602/1941707596     compute_congestion_pressure(std::vector<int, std::allocator<int> > const&, int, int, int) [2]
                0.00    0.00  135200/1941707596     std::vector<int, std::allocator<int> >::operator[](unsigned long) const [51]
                0.83    0.00 1941504792/1941707596     std::vector<int, std::allocator<int> >::operator[](unsigned long) [3]
[7]     14.6    0.83    0.00 1941707596         std::vector<int, std::allocator<int> >::size() const [7]
-----------------------------------------------
                0.43    0.12 272646144/272646144     compute_congestion_pressure(std::vector<int, std::allocator<int> > const&, int, int, int) [2]
[8]      9.7    0.43    0.12 272646144         next_pressure_value(int, int, int, int, int, int, int, int, int) [8]
                0.12    0.00 272646144/272646144     int const& std::min<int>(int const&, int const&) [20]
-----------------------------------------------
                0.00    0.00    4352/130801308     is_open(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int, int) [65]
                0.13    0.23 130796956/130801308     shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
[9]      6.3    0.13    0.23 130801308         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const [9]
                0.06    0.13 130801308/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const [11]
                0.03    0.00 130801308/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const [29]
-----------------------------------------------
                0.20    0.00    1200/1200        shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
[10]     3.5    0.20    0.00    1200         std::vector<Point, std::allocator<Point> >::~vector() [10]
                0.00    0.00    1200/2400        std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator() [135]
                0.00    0.00    1200/1200        void std::_Destroy<Point*>(Point*, Point*) [164]
                0.00    0.00    1200/1200        std::_Vector_base<Point, std::allocator<Point> >::~_Vector_base() [155]
-----------------------------------------------
                0.00    0.00       1/130915030     generate_requests(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int) [62]
                0.00    0.00       1/130915030     print_summary(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RunSummary const&, HeatmapSummary const&, CongestionSummary const&, int, double) [81]
                0.00    0.00    1200/130915030     shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
                0.00    0.00    1460/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::end() const [75]
                0.00    0.00    2400/130915030     next_open_cell(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int&) [63]
                0.00    0.00    2660/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const [72]
                0.00    0.00    6000/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [49]
                0.00    0.00   10800/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_check_length(unsigned long, unsigned long, char const*) const [61]
                0.00    0.00   21600/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long) [48]
                0.00    0.00   67600/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) [47]
                0.06    0.13 130801308/130915030     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const [9]
[11]     3.4    0.06    0.13 130915030         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const [11]
                0.08    0.05 130915030/130946491     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const [19]
-----------------------------------------------
                0.00    0.16    1200/1200        shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
[12]     2.8    0.00    0.16    1200         std::vector<Point, std::allocator<Point> >::vector(unsigned long, std::allocator<Point> const&) [12]
                0.00    0.16    1200/1200        std::vector<Point, std::allocator<Point> >::_M_default_initialize(unsigned long) [14]
                0.00    0.00    1200/1200        std::vector<Point, std::allocator<Point> >::_S_check_init_len(unsigned long, std::allocator<Point> const&) [84]
                0.00    0.00    1200/1200        std::_Vector_base<Point, std::allocator<Point> >::_Vector_base(unsigned long, std::allocator<Point> const&) [154]
-----------------------------------------------
                0.00    0.16    1200/1200        Point* std::__uninitialized_default_n<Point*, unsigned long>(Point*, unsigned long) [15]
[13]     2.8    0.00    0.16    1200         Point* std::__uninitialized_default_n_1<true>::__uninit_default_n<Point*, unsigned long>(Point*, unsigned long) [13]
                0.16    0.00    1200/1200        void std::__fill_a1<Point*, Point>(Point*, Point*, Point const&) [17]
                0.00    0.00    1200/1200        void std::_Construct<Point>(Point*) [162]
                0.00    0.00    1200/1201        std::__size_to_integer(unsigned long) [143]
-----------------------------------------------
                0.00    0.16    1200/1200        std::vector<Point, std::allocator<Point> >::vector(unsigned long, std::allocator<Point> const&) [12]
[14]     2.8    0.00    0.16    1200         std::vector<Point, std::allocator<Point> >::_M_default_initialize(unsigned long) [14]
                0.00    0.16    1200/1200        Point* std::__uninitialized_default_n_a<Point*, unsigned long, Point>(Point*, unsigned long, std::allocator<Point>&) [16]
                0.00    0.00    1200/2400        std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator() [135]
-----------------------------------------------
                0.00    0.16    1200/1200        Point* std::__uninitialized_default_n_a<Point*, unsigned long, Point>(Point*, unsigned long, std::allocator<Point>&) [16]
[15]     2.8    0.00    0.16    1200         Point* std::__uninitialized_default_n<Point*, unsigned long>(Point*, unsigned long) [15]
                0.00    0.16    1200/1200        Point* std::__uninitialized_default_n_1<true>::__uninit_default_n<Point*, unsigned long>(Point*, unsigned long) [13]
                0.00    0.00    1200/8405        std::is_constant_evaluated() [123]
-----------------------------------------------
                0.00    0.16    1200/1200        std::vector<Point, std::allocator<Point> >::_M_default_initialize(unsigned long) [14]
[16]     2.8    0.00    0.16    1200         Point* std::__uninitialized_default_n_a<Point*, unsigned long, Point>(Point*, unsigned long, std::allocator<Point>&) [16]
                0.00    0.16    1200/1200        Point* std::__uninitialized_default_n<Point*, unsigned long>(Point*, unsigned long) [15]
-----------------------------------------------
                0.16    0.00    1200/1200        Point* std::__uninitialized_default_n_1<true>::__uninit_default_n<Point*, unsigned long>(Point*, unsigned long) [13]
[17]     2.8    0.16    0.00    1200         void std::__fill_a1<Point*, Point>(Point*, Point*, Point const&) [17]
-----------------------------------------------
                0.00    0.00       1/130804910     generate_requests(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int) [62]
                0.00    0.00       1/130804910     print_summary(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RunSummary const&, HeatmapSummary const&, CongestionSummary const&, int, double) [81]
                0.00    0.00    2400/130804910     next_open_cell(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int&) [63]
                0.00    0.00    4352/130804910     is_open(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int, int) [65]
                0.08    0.06 130798156/130804910     shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
[18]     2.6    0.08    0.06 130804910         std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) const [18]
                0.06    0.00 130804910/130876112     std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const [21]
-----------------------------------------------
                0.00    0.00    2661/130946491     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long) [73]
                0.00    0.00   10800/130946491     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_check_length(unsigned long, unsigned long, char const*) const [61]
                0.00    0.00   18000/130946491     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::capacity() const [64]
                0.08    0.05 130915030/130946491     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const [11]
[19]     2.4    0.09    0.05 130946491         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const [19]
                0.05    0.00 130946491/130947695     unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [24]
-----------------------------------------------
                0.12    0.00 272646144/272646144     next_pressure_value(int, int, int, int, int, int, int, int, int) [8]
[20]     2.0    0.12    0.00 272646144         int const& std::min<int>(int const&, int const&) [20]
-----------------------------------------------
                0.00    0.00       1/130876112     generate_requests(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int) [62]
                0.00    0.00       1/130876112     print_summary(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RunSummary const&, HeatmapSummary const&, CongestionSummary const&, int, double) [81]
                0.00    0.00    1200/130876112     shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
                0.00    0.00    2400/130876112     next_open_cell(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int&) [63]
                0.00    0.00   67600/130876112     std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) [60]
                0.06    0.00 130804910/130876112     std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) const [18]
[21]     1.1    0.07    0.00 130876112         std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const [21]
-----------------------------------------------
                0.01    0.04 65614600/65614600     shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
[22]     0.9    0.01    0.04 65614600         std::vector<Point, std::allocator<Point> >::operator[](unsigned long) [22]
                0.04    0.00 65614600/65614600     std::vector<Point, std::allocator<Point> >::size() const [28]
-----------------------------------------------
                0.00    0.00       1/1201        int* std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long) [54]
                0.05    0.00    1200/1201        shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&) [6]
[23]     0.9    0.05    0.00    1201         void std::__fill_a1<int*, int>(int*, int*, int const&) [23]
-----------------------------------------------
                0.00    0.00       1/130947695     std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_S_max_size(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) [37]
                0.00    0.00       1/130947695     std::vector<RouteRequest, std::allocator<RouteRequest> >::_S_max_size(std::allocator<RouteRequest> const&) [96]
                0.00    0.00       2/130947695     std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&) [93]
                0.00    0.00    1200/130947695     std::vector<Point, std::allocator<Point> >::_S_max_size(std::allocator<Point> const&) [83]
                0.05    0.00 130946491/130947695     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const [19]
[24]     0.9    0.05    0.00 130947695         unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [24]
-----------------------------------------------
                0.04    0.00       1/1           main [1]
[25]     0.8    0.04    0.00       1         summarize_heatmap(std::vector<int, std::allocator<int> > const&, int, int) [25]
                0.00    0.00   67600/135200      std::vector<int, std::allocator<int> >::operator[](unsigned long) const [51]
                0.00    0.00  279952/279952      std::array<int, 1201ul>::operator[](unsigned long) [105]
-----------------------------------------------
                0.00    0.04       1/1           main [1]
[26]     0.7    0.00    0.04       1         generate_grid[abi:cxx11](int, int) [26]
                0.00    0.04       1/1           std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) [27]
                0.00    0.00   67600/67600       std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) [47]
                0.00    0.00   67600/67600       std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) [60]
                0.00    0.00       1/1           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&) [92]
                0.00    0.00       1/7461        std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [77]
                0.00    0.00   67600/67600       int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [112]
                0.00    0.00       1/1           std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [223]
                0.00    0.00       1/1           std::uniform_int_distribution<int>::uniform_int_distribution(int, int) [225]
-----------------------------------------------
                0.00    0.04       1/1           generate_grid[abi:cxx11](int, int) [26]
[27]     0.7    0.00    0.04       1         std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) [27]
                0.00    0.03       1/1           std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_fill_initialize(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [32]
                0.00    0.01       1/1           std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_S_check_init_len(unsigned long, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) [38]
                0.00    0.01       1/1           std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_base(unsigned long, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) [46]
-----------------------------------------------
                0.04    0.00 65614600/65614600     std::vector<Point, std::allocator<Point> >::operator[](unsigned long) [22]
[28]     0.7    0.04    0.00 65614600         std::vector<Point, std::allocator<Point> >::size() const [28]
-----------------------------------------------
                0.00    0.00       1/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct(unsigned long, char) [91]
                0.00    0.00     260/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [30]
                0.00    0.00     260/130948472     void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<true>(char const*, unsigned long) [80]
                0.00    0.00    1200/130948472     void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [40]
                0.00    0.00    1200/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long) [68]
                0.00    0.00    1460/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::begin() const [86]
                0.00    0.00    1460/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::end() const [75]
                0.00    0.00    1461/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long) [85]
                0.00    0.00    6000/130948472     void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::__resize_and_overwrite<std::__cxx11::to_string(int)::{lambda(char*, unsigned long)#1}>(unsigned long, std::__cxx11::to_string(int)::{lambda(char*, unsigned long)#1}) [67]
                0.00    0.00    6000/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [49]
                0.00    0.00    9600/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long) [48]
                0.00    0.00   24001/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long) [71]
                0.00    0.00   26661/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const [70]
                0.00    0.00   67600/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) [47]
                0.03    0.00 130801308/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const [9]
[29]     0.6    0.04    0.00 130948472         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const [29]
-----------------------------------------------
                0.00    0.03     260/260         void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [31]
[30]     0.4    0.00    0.03     260         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [30]
                0.03    0.00     260/260         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const [36]
                0.00    0.00     260/260         void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<true>(char const*, unsigned long) [80]
                0.00    0.00     260/2660        std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const [72]
                0.00    0.00     260/130948472     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const [29]
                0.00    0.00     260/7461        std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() [126]
                0.00    0.00     260/6260        std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char>&&) [127]
-----------------------------------------------
                0.00    0.03     260/260         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__do_uninit_fill_n<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [33]
[31]     0.4    0.00    0.03     260         void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [31]
                0.00    0.03     260/260         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [30]
                0.00    0.00     260/70261       operator new(unsigned long, void*) [107]
-----------------------------------------------
